弹幕内容
汪汪汪（好好牵着我）,
？？？,
一个单身狗看的津津有味,
又是为别人的爱情感动的一天,
好幸福啊，吸收喜气,
2000+你们随份子吗？,
淦,
祝福你们！幸福一辈子！,
rnm陌生人,
rnm，焯！,
开始总是分分钟都妙不可言,
太痛了,
焯！,
靠,
羡慕了,
啊啊啊啊啊啊啊啊,
我不理解！,
竟然是爱情的恶臭味,
哎吗，我不吃,
人没了，谢谢你们的柠檬,
大型杀狗现场,
她家？！,
握草,
前方虐狗,
第一天就接吻...,
沾沾喜气,
酸了,
？？？？,
别人的22岁大晚上谈恋爱，我的22岁大晚上点外卖······,
好运好运！！！！,
rnm陌生人,
焯！！！！！,
rnm，退钱！,
送你个一键三连作为份子钱吧，等吃席的时候记得我要一个一桌!,
羡慕到哭了......,
卧槽,
焯！！！！,
恭喜恭喜 ,
投个币就当随份子啦,
初期都是这么如胶似漆,
羡慕，恭喜！,
光速,
焯,
幻彩摩天轮,
焯，让我输得这么彻底！！,
我一直都想不明白我到底输在哪里,
9999999,
焯,
99999999,
粤T ！！,
焯,
我是给了币  随了份子钱的   你懂8,
???,
我焯，,
我也好想,
同城,
《运镜》0,
卡西欧打钱！！！,
这么突然？！,
祝你们幸福！,
你以为是两个人在笑其实是我们三个人,
切，我都两个小孩了,
我焯,
rnm，陌生人,
另外2000＋的朋友们好,
好真实,
RNM!!!,
痛，太痛了,
磕到了,
早生贵子,
up，虽然Dilemma这首歌很好听，但是这个是一个出轨的故事啊23333,
别人的都是别人的,
祝福,
兄弟，头发一看就是聪明的亚子,
？？？？？？？,
祝福,
?????,
?????,
？？？,
淦,
西巴,
焯！,
淦,
痛,
可恶！,
祝福你们,
保佑！,
啊,
祝福这个b                                                                                           用户,
痛 太痛了,
别别别，摄像机别歪,
我一脸姨母笑…,
把我杀了给这两人助兴吧！,
？怎么回事啊？,
福如东海寿比南山,
哇哦,
我淦,
Rnm，退钱！！！,
呀，西八老马,
淦,
rnm,
我不理解,
恭喜,
焯，蚌埠住了！！！！,
现在恋爱都是上来就亲亲嘛,
？？？？,
中山,
淦,
这是谈恋爱的时候，结了婚就不会这样了,
焯,
我高一到大学，现在她是我两个儿子的妈,
哈哈哈哈哈,
？,
？？？,
中山？,
是中山市沙溪某高中的校友吗（doge,
周杰伦的声音,
勇敢勇敢我的朋友，就算明天没有彩虹,
葫芦娃葫芦娃一根藤上七朵花,
k,
？？？？？,
祝福！,
c,
痛，太痛了！！！！！！！！！！！,
就这么简单？就在一起了？科幻片吗？这是？,
一定要幸福,
不李姐,
可恶啊,
rnm，退钱,
希望我们也是如此,
中山啊,
卧槽！！！！！,
1000+离谱,
？,
耖,
？？？？,
哦豁,
嗯？？？？,
祝福祝福,
痛，太痛了,
真的痛,
我媳妇儿是我小学. 初中.   高中同桌,
？发生了什么 太痛了,
啊啊啊啊啊啊啊啊,
这个地方好眼熟 ,
痛,
祝你幸福,
呜呜呜呜呜,
最后还要有暴力！！！,
焯，太痛了,
杀狗庆祝,
肈,
祝福这话哎,
一定要9999啊！！,
过分了！,
rnm退钱,
羡慕了,
臭小子，挺会玩啊,
rnm陌生人,
？？？,
这酸臭味,
焯！！！！！！！！,
科幻片，不信谣不传谣,
为爱投币了，呜呜…,
祝福,
狗贼,
rnm退钱,
一定要很很的幸福,
超！！！！,
年轻真好,
拍到好似结婚咁,
WC，太梦幻了！,
颤抖的手！！激动的心,
焯!,
rnm，陌生人,
一定要一直在一起,
为什么有1000只狗跟我一起别人甜甜的恋爱,
？,
这么快的吗？？？,
痛啊，老铁太痛了,
是你的话可以。？,
我酸了,
实名羡慕,
rnm陌生人,
滚……,
好家伙，这狗粮撑死我了,
骗狗进来杀,
淦,
杀了我给你们助兴,
这电影院怎么全是女观众,
随个分子币,
焯！,
焯！！,
可恶,
你好吗？ 你好吗？ 你好吗？我很好。 我很好。 我很好。,
想想自己，心竟然有亿点酸,
哦,
带着爷的祝福狠狠地幸福下去吧,
痛太痛了,
超,
恭喜,
我超,
我好像一只狗走在路上被踹了一脚,
rnm，退钱！！！,
投币纪念当年的自己,
厉害(/≧▽≦/),
这狗粮撒的,
？,
祝福！,
10分，是我喜欢的类型,
这个打码跟没打一样,
还是别人的恋爱好看祝99,
rnm退钱！,
投币了，当随份子了,
投币了，当随份子了,
这种语气，对单身狗造成暴击了。,
！！！！！,
百年好合,
愿你们能永远在一起,
救命,
和我现任第一次约会一样，等了一个多小时,
羡慕了,
焯,
慕了慕了,
rnm,
退钱！,
兴中？,
也有和高中喜欢女生的合照，大学后恋爱，去年结婚,
?????,
虽然我也想这样，但我还在初中没遇到喜欢的人哈哈哈,
痛，太痛了,
恭喜，恭喜,
nmd这么多年没见,
卧焯尼玛德，这么娴熟吗：）,
含泪祝福我哭了，我暗恋就无疾而终,
这狗太惨了，吊起来杀,
永远为人类真挚的感情而感动,
投两个币吧，就当我随份子了好吧,
离谱,
我同意这门婚事，并且把催生提上了日程,
555,
漕,
焯！,
？？？rnm陌生人！！,
恭喜!!!,
关了,
我为什么要进来看,
退钱,
恭喜这个b,
我不同意！！！！！,
不是吧这么就同意了,
痛,
痛，太痛了,
神经病?,
rnm,
带着你们的爱情，GUN,
太痛了,
炒,
淦！！！！,
太酸了,
太痛啦兄弟们,
哎呀我真的是服了怎么都成功了,
太透了兄弟们,
审核你还在吗？,
痛，太痛了,
退钱,
我不理解,
这是开G了吗,
RNM退钱！！,
焯！杀狗了！,
舒服了,
我就不可能了  我不配lh,
太痛了,
感受痛楚吧，单身狗们！！！,
加油,
我内牛满面,
？。？。？？,
???,
中山！！！！！！！！！,
打了个寂寞,
rnm陌生人，带着我的祝福滚啊,
R   M!退钱,
她摇晃在马路中央,
痛,
rnm陌生人,
奈奈底，带着我的祝福滚蛋。,
难受啊金轮,
rnm退钱,
呜呜呜呜,
痛，太痛了,
RNM！退钱！,
是,
果然还是看别人谈恋爱最幸福,
恭喜！,
？,
？,
痛，太痛了,
我好气啊，为什么你可以这么简单？？？？？,
我不服啊，为什么你可以这么简单？？？？？？？？？？,
gb,
？,
太痛了,
1000+,
是双向！,
直球好,
草,
这种幸福的幸运事情好难会发生在我身上。,
可怜的水生，没女朋友还要被虐,
我没看到(,
是想吃晚饭的吧，UP主早晨就过去了？,
我不李姐,
？,
这是双向暗恋才可以的事情！,
恶心,
这爱情的酸臭味,
我呸！突然的一口狗粮！rnm，退钱,
淦，我好酸，这就成了？！,
靠,
痛，太痛了,
rnm,
？？？,
淦 三连了 ！,
为什么杀狗,
焯！,
祝福你们！要幸福呀,
双向奔赴,
太痛了！,
可以了可以了 够变态了,
王德发！,
rnm，退钱,
？？？？？？焯？？？？？？,
绝了小伙子,
双向奔赴是吧,
rnm退钱！,
智者不入爱河，建设美丽中国,
啊啊啊啊啊啊啊,
rnm退钱,
我敲,
woc，中山的？这校服看着好熟悉,
痛，太痛了,
通，好痛,
痛，太痛了,
超,
痛，太痛了,
草草草 音乐出来那一刻 我哭了,
恋爱还是看别人谈有意思,
中山城区人报道,
祝幸福,
约会三件套啊这,
同款手表,
？？？？？？？？,
祝福,
可恶啊,
可恶被他装到了,
骗狗进来杀是吧,
现在都是这么快的嘛？,
痛，太痛了,
超,
就这样说一句就成了吗,
焯！！！,
rnm退钱,
两个币份子钱收好了,
路还很长，慢慢走,
卧槽 ？？？,
总之就是非常酸,
祝幸福,
md  我看的津津有味的.....,
痛，太痛了。,
痛，太痛了,
日内瓦退钱！！,
啊,
？？？？《她家》,
真是的也没让你上去坐坐,
恭喜恭喜恭喜恭喜,
小丑局,
前面的，她不知道他来了,
气死我啦,
嗯,
rnm退钱！,
啊啊啊啊啊啊啊啊,
痛，太痛了,
淦,
!!,
？？？？就这么简单,
燃！,
来把我杀了给二位助助兴,
？,
999,
你可太会了,
退钱！！！！！！！！！！！！！,
真的可以吗 我的天啦,
？？？？？？？？？？,
举报了,
痛,
币拿去 快滚,
我擦 离大谱,
我去,
才刚好上第一天就牵手亲嘴了？,
99,
退钱！！！！！！！,
痛，太痛了,
难以置信,
痛，太痛了,
？？？？？,
？,
痛痛痛,
痛，太痛了,
我投两个硬币就当。随份子钱。,
？？？？,
????,
高中恋爱真的能到大学吗，我感觉诶,
恭喜这个B,
恭喜呀,
这段人生我也经历过，唯一的差别是，女孩儿回复我：你做梦！然后关系一下就淡了。,
啊啊啊啊啊啊,
走远点好嘛，你们的幸福吵到我了,
恭喜恭喜恭喜,
？,
rnm陌生人,
恭喜,
恭喜这个b,
随两个币,
?rnm陌生人!,
还女同学呢？doge,
退钱,
？？？？？？？？？？？？,
？？？？？？？？？,
1000+,
大甜,
痛 太痛了,
痛！！！,
不当人啊啊啊啊,
焯,
9999,
祝幸福,
比之前看的那个还痛,
疼,
？？？？,
？,
？？？,
tnnd,
口罩都换成一样的了,
rnm陌生人,
祝福,
我和初中喜欢的女孩重逢了,
Rnm退钱,
随份子钱了,
离谱，1000个人看着你奔现,
tnnd 都放闪是吧,
祝福,
投币随份子了,
rnm退钱,
你们也太甜了吧,
我吊,
这么快卧槽！,
痛，太痛了,
一定要幸福！！！！！！,
祝福你们,
痛死我了,
你小子挺会啊,
?????,
痛，太痛了,
这真实么,
带上爷的祝福滚吧！,
饱了饱了,
？？？我不李姐。,
你在她家等她，她在你家等你,
rnm退钱,
一定要幸福开心 永远在一起！祝福你们！,
焯！,
脸变宽了。。。,
太痛了,
你上热门了,
3句话，让她做我女朋友,
百年好合！,
痛，太痛了,
我表白就是好人卡，看到你们这，我难受,
我也去兴中摩天轮坐一下是不是可以收获爱情,
？？？举报了,
我和高中喜欢的女孩子分手了,
？？？,
要幸福啊,
痛死了,
RNM退钱,
时间观念都没有啊,
痛   太痛了,
恭喜 ,
？？？,
围观爱情,
淦！,
rnm陌生人！,
rnm陌生人！,
唉我也想起初中的初恋，但联系不到了,
这样子？？？？,
哈哈哈,
我焯,
她竟然甩了更在一起了 ,
这么简单,
我想打人,
好家伙,
？？？？,
太痛了,
早生贵子,
就要直球,
退钱！,
痛，太痛了,
这恋爱的酸臭味！,
痛，太痛了,
痛，太痛了,
我和男朋友是初中同学 兜兜转转一大圈 今年大二 终于在一起了,
痛，太痛了,
你币没了,
太痛了,
恋爱还是看别人谈吧,
这样也行？？？？,
rnm退钱,
99,
卧槽，这什么对话这么突然,
痛，太痛了,
恭喜,
超,
恭喜,
焯！,
我吃饱了,
一定要幸福啊,
焯！,
哈哈哈哈,
屏幕前的把嘴角收一收,
她肯定在好好打扮，因为要见的人是对她来说最重要的人,
所以命中注定的人兜兜转转还是会走到一起,
