用户名称,评论时间,评论内容
山东陈冠希123,3月9日 00:28,哈哈哈哈哈他是王浩的你别想了
山东陈冠希123,3月9日 00:28,666
9420VAE,3月8日 23:39,来自湖北 祝周海波生日快乐
小莹-Jay,3月8日 23:22,时间会验证我多爱你呀
小莹-Jay,3月8日 23:17,看哭了[多多大哭]
宝宝要成为超人,3月8日 23:09,我们认识一年两个月，2022年3月13日我们要订婚啦！有开心有难过有幸福的时刻，以后的日子交给时间，我们会好好的，走下去。谢谢你爱我🎉🎈💍💞👫～
A陈meng,3月8日 22:57,我和whx2021年11月18日在一起，今天是在一起的第110天。
热心市民虎先生,3月8日 22:46,@A瑛瑛I
幼儿园轩轩小朋友,3月8日 22:45,如果我以后娶了一个叫苏灿的女孩子的话，看到这条评论的网友都有喜糖。
yyy掀起星河吖,3月8日 22:19,我的意思是不漂亮就算倒贴也不会被爱
yyy掀起星河吖,3月8日 22:18,不会 他跟他朋友说我不好看所以不考虑
一大口酸菜鱼,3月8日 21:55,天黑了会记得回家吗 颜香含
多幸运_TX,3月8日 21:42,[多多大哭]…(>﹏<)
一个开心的憨批吧,3月8日 20:45,鹅鹅鹅，
巫瞄,3月8日 19:57,祝评论区心有所属的人儿都得偿所愿！
巫瞄,3月8日 19:54,恭喜
江輓訡,3月8日 19:53,怎么样了
ListenTBS,3月8日 18:54,来自广东，祝周海波生日快乐
-谢文笙,3月8日 18:25,两年没了
一束花的仪式感_o,3月8日 18:18,和喜欢的人说话声音都变温柔了
刘欢喜mua,3月8日 18:15,"今天又和姐姐聊了很多，我说“这两年的我比恋爱时勇敢了许多，无论是哪方面，都会有豁出去的心”姐姐说她也是。
最后姐姐还跟我说“人生常态是孤独”
是的，自己才是永远的不变量啊
网易云成了我的秘密基地"
猪猪子喔,3月8日 17:48,我去！！！[多多大哭][多多大哭]
ListenTBS,3月8日 17:28,有
ListenTBS,3月8日 17:28,怎么样了
病呓,3月8日 17:21,如果能够重新认识就好了
3月25被弃,3月8日 16:59,哈哈
二铄_,3月8日 16:49,高情商的帅哥给我私信
等你提裙摆,3月8日 16:33,在呀
____该用户不存在____,3月8日 16:24,打卡第七天
小杜_2eNC,3月8日 16:14,2022年3月7日杜佳琪因为翻墙出去和闻洪广玩被学校处长抓 闻洪广非常牛把处长打了然后大半夜哭成熊样
小李小李不讲道理789,3月8日 16:12,好治愈的🕊️
日青斤欠-,3月8日 16:08,
太楊落山了,3月8日 15:40,时间会证明的
爱不能吝啬,3月8日 15:10,在
娜娜吃不饱-_,3月8日 13:45,天黑了会记得回家吗宁鑫浩
万人不及黄家驹,3月8日 13:39,我希望我们永远不会结束，但是如果有意外 你要记住我比任何人都爱你——李明会
克莱因南-,3月8日 13:18,上岸！势在必得！
Mars30_,3月8日 13:17,做自己永远追寻自由吧
Mars30_,3月8日 13:15,⏸
霍子凡0502,3月8日 12:54,在平行的时空里会有人重逢吗.
小威police,3月8日 09:35,谢谢
小威police,3月8日 09:34,第二天
肆贰柒__,3月8日 09:21,等到我50岁，希望你还在
长g呀,3月8日 09:19,你倒是算得挺清
月色下相爱,3月8日 08:31,承你吉言
过得既好也不好,3月8日 08:04,2022年3月8日，我在坚持一年，她嫁给我我就把这首歌放在婚礼现场上。2023年3月8日
是一条小金鱼,3月8日 03:41,他们只是用一瞬间当了爸爸、爷爷、奶奶。
跑不快的小奥,3月8日 03:12,什么叫舔狗，什么叫深情
栽在我手里_yr9i,3月8日 03:09,最喜欢这首歌的时候我跟他刚在一起，现在只期待他回到我身边，亲爱的鑫，好想你
奎萧,3月8日 01:38,有
WvemiC9_16,3月8日 00:48,不要你名声四起 我要你平平安安。
WvemiC9_16,3月8日 00:48,我们都别放手 苦难我陪你走 这不是承诺 是约定。
石杨楠s,3月8日 00:45,蚌埠住了
一个开心的憨批吧,3月7日 23:58,"回的真快
那就好好过自己的生活"
不爱醋爱吃酸,3月7日 23:53,现在2022年3.7号还在听这首歌，把这首歌送给我闺女
跑骚的大道上狂颠,3月7日 23:40,美好的时光
-暖一杯茶_-,3月7日 23:32,不要你名声四起 我要你平平安安
-暖一杯茶_-,3月7日 23:29,你前女友一个比一个漂亮 我平平无奇哪能配得上你
-暖一杯茶_-,3月7日 23:28,我也想嫁给你 可你在社会上立足的时候我也才十六七岁
林熙_02,3月7日 23:28,时间会验证我多爱你啊 就这样静静的陪你长大.
hgfkkg,3月7日 23:27,17、18岁相遇的人，22岁还没有走散，那就一直走下去吧！带着所有的爱与祝福
-暖一杯茶_-,3月7日 23:25,在这车水马龙的时代，谁会等谁好几年
-暖一杯茶_-,3月7日 23:24,我以为我很特别，后来才发现你对谁都这样的，挺没意思的，也很抱歉没能成为你的挚爱 没能成为你的例外
-暖一杯茶_-,3月7日 23:23,你是恩赐也是劫
AKA狙击手敢敢,3月7日 23:01,加油加油
AKA狙击手敢敢,3月7日 23:00,加油加油
AKA狙击手敢敢,3月7日 22:59,我想爱他 我想依赖他 但是他好像不喜欢我 会有好消息吗 会在一起吗 会一起看夕阳吗 会说爱我吗
蜜汁小汉堡0523,3月7日 22:49,天黑了记得早点回家，我暖好了茶在家里等你呢啊。
蜜汁小汉堡0523,3月7日 22:47,希望你快乐，不止今天
_她入我鑫,3月7日 21:55,我等着你的祝福 一定要让我看到
民谣小胖,3月7日 21:45,加油＾０＾~
民谣小胖,3月7日 21:45,如何呢
等都是遗憾,3月7日 21:38,怎么可以一边占有她的青春，一边嫌弃她的脾气和不懂事，人不能即要又要还要
路远-------J,3月7日 20:38,1
日青斤欠-,3月7日 20:22,我男朋友今天参军了 送他离开的时候真的眼泪不停地流下来 从他的眼神里 我看到了爱与不舍 我知道 我有多不舍得他他就有多不舍得 不就是两年吗 我乖乖等你回来 然后我们永远在一起不要分开❤️
满天星浪漫主义者,3月7日 20:19,彤彤要和鑫鑫一直在一起 要考一个高中 要谈一场轰轰烈烈的恋爱 要在不遥远的未来一起吃年夜饭 要永远有爱.
通辑小兔,3月7日 19:50,2022年了，放下了
周娟娟ovo,3月7日 19:30,我也非常爱你
夏天的西瓜g,3月7日 19:18,寡王要进复试要成功录取要一路硕博！
吴传健-,3月7日 18:57,@周娟娟ovo 时间会验证我多爱你呀
-暖一杯茶_-,3月7日 18:35,黄家豪，时间会证明我有多爱你
-暖一杯茶_-,3月7日 18:34,早就把你规划到未来里了 就差等你娶我回家了
南雪之约,3月7日 18:06,那就把回忆留下吧
你的宝贝欣然,3月7日 18:05,意难平
南雪之约,3月7日 18:04,那个最好的他在你的心里，永远属于你，不属于任何人
o3o圈圈,3月7日 18:02,就像两个孤独的灵魂相遇在了一起
LyWjkzyj,3月7日 17:23,好难过。我又做错了什么呢？
H你妹M,3月7日 16:17,加油
小威police,3月7日 15:54,第一天
无此人_ooMt,3月7日 15:49,千万别，别被聊天蒙蔽了双眼
无此人_ooMt,3月7日 15:48,漂亮
Euphoriazzi,3月7日 15:09,独行侠遇到了他的小太阳
____该用户不存在____,3月7日 14:25,打卡第六天
你的宝贝欣然,3月7日 13:28,已经结婚了
玛卡巴卡的粉色炫酷无敌小战车,3月7日 13:24,会的 忘不了就别忘，真正的忘记是不需要努力的
南雪之约,3月7日 13:14,只要你不想，他就没结婚
南雪之约,3月7日 13:13,"会吗？
原来人真的忘不掉自己十几岁喜欢上的那个人"
邢思雯-,3月7日 12:15,会 因为每天聊天聊到很晚 还不会厌烦 时间一长就会产生一种感情 就是只要有一天不给他聊天 就觉得自己缺点什么东西一样很不自在
First荣辉,3月7日 11:43,牛
Li李李李什么李,3月7日 11:30,@Salt-Sakana
Lt-森淼,3月7日 10:40,不记得了 只记得我最后一次动心的人公布新恋情了 后来再也没法动心了
小云朵爱吃糖ly,3月7日 10:38,同感
霧散愛意失WAN,3月7日 10:06,@幻影想_UwaK 他真的娶了那个女孩诶
李嗯哈哈哈,3月7日 09:46,一起加油
沿路盛开,3月7日 08:39,为她暖了一杯茶 她会喝吗 喝了会领情吗
常州孙锐,3月7日 08:24,"茶 孙静说
孙经理，你跟我一起
去山东卖茶叶吧
我哥和嫂子在那儿
开店卖茶叶
卖得挺好的
我没有吱声
我保健品卖得好好的
干吗跟你去卖茶叶
三十多年过去了
我想到这一幕
忽然很想卖茶叶
做个茶商
不
做个茶人"
你既是劫难,3月7日 05:50,没有爱情 无所期待
notes7,3月7日 04:21,小兰收到了
_我的故事你想听吗_,3月7日 03:03,深情从来不是无底线的讨好，当你把自己放在了可以不断被伤害的一方，你就没资格说深情，深情是两个人的事，感动自己的深情不叫深情，你所谓的深情不过是你自己的一厢情愿而已
_我的故事你想听吗_,3月7日 03:03,深情和舔狗有区别的，舔狗没有底线，但是很多人压根分不清啥叫深情，啥叫舔狗，这就导致这种现象，一律都被叫做舔狗
胡家辉的网易云,3月7日 02:48,赌一把吧我要娶她
VickiQY,3月7日 01:54,我爱他啊
孬柿子,3月7日 01:52,还是会惦记，很难忘，很难忘……
我的女孩lyq,3月7日 01:23,抱抱你，要向前看喔，生孩还是要继续嘛
Caprice美颜控,3月7日 01:00,我怎么感觉写给自己孩子很适合
-谢文笙,3月7日 00:54,遗憾啊去年11月份就分了
2021年8月7日z,3月7日 00:50,我养了一只猫 有一天我把它扔进了海里 它不是喜欢鱼吗 干嘛说我狠心
一朝风月1908,3月7日 00:17,希望三年后 我能和周金结婚，我会努力💪
不锈钢女娃,3月7日 00:13,谢谢你的分享
龙王_XFJE,3月6日 23:58,我要娶王子汶5年后
放爱走了,3月6日 23:28,天黑了以后别忘记回家
蒋小姐的杨先森,3月6日 23:24,到时候你还来，我见证。
小威police,3月6日 23:20,于2022年3月6日23点16分，在她最喜欢的歌下发誓，我秦显威必娶柏雨情，名正言顺，锣鼓喧天，如果没有，各位尽情骂我，这不是年少时的玩笑，娶到的那一天，我希望各位都有祝福
涵涵是憨憨吧,3月6日 23:06,加油
Reset04,3月6日 23:02,刚刚听到她要结婚了，恭喜啊，虽然陪你到最后的人不是我，但是也要幸福啊
C2c2CCc,3月6日 23:01,懂我奇奇怪怪 陪我可可爱爱
伱的娇1,3月6日 23:00,我们永远不会再见了 这是我第一次体会到永远
你不用记起我,3月6日 22:39,我从有到无 从一路坎坷到沦为舔狗舔了48天追到她了她答应我了她说让我穿上西装为她穿上婚纱我们俩步入婚礼的殿堂 还请云友们见证
kiss他_,3月6日 22:35,齐健兆你的位置我一直都在给你留着 我不强求你 等你想起我了 记的回来找我.
董广旭_cgVd,3月6日 22:33,娶到王婷是我董广旭今生做过最大的梦[多多比耶]
EDC0501,3月6日 22:25,时间会验证我多爱你呀
卢卡莫德里奇,3月6日 22:05,希望我能娶到井肪敏
微rin,3月6日 22:00,有
二铄_,3月6日 21:35,你该勇敢点
二铄_,3月6日 21:35,QD 时间会验证我有多爱你
二铄_,3月6日 21:31,恭喜
白悦茹,3月6日 20:44,初中就听的歌。
嘿婷YOU,3月6日 20:37,一起上岸
-暖一杯茶_-,3月6日 19:59,我想让你见见以前很好的我 没有现在犹豫不安自私敏感是热烈的闪耀的一往无前的.
-暖一杯茶_-,3月6日 19:47,别想了 我就是你的下辈子
-暖一杯茶_-,3月6日 19:45,我要前途也要他
-暖一杯茶_-,3月6日 19:45,吃过他吃过的饭 喝过他喝的水 抽过他抽过的烟 穿过他衣服 睡过他家床 吃过他家饭 回过他家见他家人 今年是我们在一起的第一个年头
-暖一杯茶_-,3月6日 19:43,你去问问哪个女孩愿意弄脏自己 来换一个没有结果的人 不都是最开始你说过会给她一个家
Mr奕亦Yi,3月6日 19:11,2022成功上岸🤔
牧烊人_oYBW,3月6日 18:30,李梦露，今天我要跟你好好的告个别，能看你一眼已经足够了，希望你以后能遇到真正走到你心里的那个人。
余悸_x6FY,3月6日 18:24,来自河南 祝周海波生日快乐
Sairiu,3月6日 18:21,@7-Nice2cu
二铄_,3月6日 18:02,两年了
二铄_,3月6日 18:01,加油
付仕安好,3月6日 17:40,来自甘肃，祝周海波生日快乐
Axxxxtt,3月6日 17:33,邢锦艺 时间会验证我多爱你
时空_w0wc,3月6日 17:26,好听
l梵高小姐,3月6日 16:13,有的哟
逼玩意儿,3月6日 15:24,或许自闭城也可以两个人打
防的住吗0,3月6日 15:06,想你了和好吧.
____该用户不存在____,3月6日 14:35,打卡第五天
邢不二,3月6日 13:44,向前走 别回头
陌路人_bDmz,3月6日 13:15,祝你们幸福
最难忘的那个人,3月6日 12:48,时间会验证我有多爱你，我的爱会陪你长大。爱你我的儿子
寒冬子月时,3月6日 12:28,微信发过来
楠_LikSN,3月6日 12:27,加油，你可以的
将爱意藏于心底_CwzF,3月6日 12:20,加油
小乖_wZok,3月6日 12:10,百听不厌
默笙宵,3月6日 12:09,专升本上岸，长治医学院等我
墨燃wanning,3月6日 11:28,[多多可怜][多多可怜]我的温柔也是你的专属宝宝，爱你哦
这个年纪YANG-,3月6日 10:52,都在向前看，为什么要难过，不是吗？
宁愿你是只蝴蝶,3月6日 10:31,
权志矓,3月6日 10:21,在一起的两年多了 他要去当兵了 尽管很舍不得但是我有足够的信心等他回来 等他回来娶我 我爱你周浩楠
梨jia,3月6日 09:43,加油
孫帥詺,3月6日 09:07,赵淑珍 时间会验证我有多爱你
本土赛区,3月6日 06:05,！！我也超级喜欢这首歌，但没在他直播间听到过，真没想到哈哈哈哈！！
小葵花院长,3月6日 04:25,我要娶苏心悦，娶到了告诉你们！[多多大笑]
李维宗哦,3月6日 03:50,@月月_Asyn 时间会验证我多爱你
娜娜吃不饱-_,3月6日 02:57,晚安宁鑫浩
小林同学J,3月6日 02:46,一听到这首歌一种莫名的感觉[多多大笑]
亲摆摆,3月6日 02:26,天天开心
桃乐茜的来信啊,3月6日 01:23,时间会验证我多爱你啊
-晚亿个安,3月6日 01:15,一定要给她一个家喔别让她失望
今天也在想你-H,3月6日 00:30,我的村 我最大的遗憾就是隔着屏幕认识你.
沐炎辰,3月6日 00:10,1320天了🤔
弈星ovo,3月6日 00:05,我不图除你以外的任何东西 你让我觉得我比不上任何人
山河做聘礼-,3月6日 00:02,所有的付出都是值得的。
其实我知道分享给你的歌你不会听,3月6日 00:00,常天赐
情詩贈予你,3月5日 23:57,该释怀了
晚风_P0jL,3月5日 23:24,天黑了，别忘记回家，
陈爽wlh0102,3月5日 23:24,我想和温琳昊和好
想暗恋嘻嘻,3月5日 23:14,真羡慕你 喜欢的人也姓顾 但我没啥可能了 祝你们99
Kitty_水蜜桃G,3月5日 23:00,一定要跟小顾努力一定在一起❤️
三年执念yx,3月5日 22:37,如果在这几年后，我能和易锦华再在一起，在座的各位都发喜糖
不是女明星9,3月5日 22:19,最怕就是怕结婚了
_第五季永生花-,3月5日 22:11,十九天
是姑娘你太难忘,3月5日 22:06,@辛吧啦 这是你最喜欢的歌么
做yi辈子的好兄弟,3月5日 22:04,牛马不要
甜桃梦游记210127,3月5日 21:08,希望我春考技能考试能顺利通过[多多可怜]
特别的人_0xCE,3月5日 20:46,我的天呐好像又回到了原点。心里还是会难过还是习惯一个人听歌.还是喜欢听这首歌
小姚今天吃饱了吗,3月5日 20:13,时间会验证我多爱你
溢于言表喜欢的还是董丽婷,3月5日 20:12,"打扰一下呀，我女朋友马上要过21岁生日了，我想集齐来自全国各地的祝福，给她一个不一样的生日礼物。
请大家用这种格式:
“我在XX省祝董丽婷生日快乐!”回复一句祝福语可以嘛?
我想给她做个视频，谢谢大家啦，
如果打扰到的话，先说声抱歉!
拜托拜托啦，谢谢大家!"
违禁情,3月5日 19:51,如果一个人真的爱你的话，是不会在意你的长相的，喜欢从来都是感觉，不是长相
不知名zz酱,3月5日 19:25,找我谈个恋爱
长g呀,3月5日 18:53,会的！
全世界最好的何宝荣,3月5日 18:51,加油！祝你幸福兄弟！点赞评论会有喜糖吗
Awoman涵,3月5日 18:28,可以要喜糖嘛
-烦烦帆,3月5日 18:22,哲 你心里有别人 我们没可能
政政呐-l,3月5日 18:22,时间会验证我多爱你啊，就这样静静地陪着你长大[多多难过]
失悆,3月5日 18:17,我做了一个梦 梦到他给我擦眼泪 他说没能好好爱我 他很抱歉
抵不过长夜_KQG,3月5日 16:32,赌一把，我要娶她
倔强的小纠结,3月5日 15:31,终于为这段没有结局的感情划上了句号，对不起，瑶瑶，我来的太晚了，错过了你最精彩的人生，我知道你以前经历过很多，受过很多伤害，我原本以为我的陪伴能够抚平你的伤口，但是我错了，世间本来就有先来后到，那么我选择离开你了，在没有我的日子里，祝你早安，午安，晚安，希望你不要再熬夜，爱你。
美丽如斯1906,3月5日 13:43,或许换个时间 很多人都合适
嘿华城,3月5日 13:15,跟她是通过相亲认识的，过完年我叫她别出去了 留着家里跟我一起把店经营起来 这样对我们的经济与感情都有好处，她还是执着的要出去 我无数的不舍与卑微也挽留不到她那颗要走的心，最后她还是走了 那天风太大把我二十多年以来没湿润的眼睛都吹湿了。如今异地恋的感情也快走到尽头了，再见！姚小姐。
也有过好脾气,3月5日 11:36,羡慕了
____该用户不存在____,3月5日 10:46,打卡第四天
Rain爱吃板栗,3月5日 10:18,等喜糖喜糖喜糖
爱aa与海,3月5日 09:37,2023一定要上岸
飯燥_TX3F,3月5日 09:27,再讲一万遍 我希望我的身边是你
月洋quq蒋蒋ovo,3月5日 09:27,蒋蒋月洋友谊99
你的宝贝欣然,3月5日 09:23,我的他结婚了
OneCoralSea,3月5日 09:22,@墨燃wanning 我的温柔是你的专属啊
四处漂泊为家,3月5日 09:06,沾沾喜气，虽然没喜欢的人
用户3869925853,3月5日 08:55,祝福祝福你们呀！
长g呀,3月5日 08:54,我是说如果，如果娶不到我也会看不起自己，当然了我自信没有这如果！
coverpain,3月5日 08:44,今天是我第一次当妈妈的第23天，祝天下的每个宝贝都健康快乐成长
嫣媚啊,3月5日 08:15,时间会我证明我有多爱你啊，即使是得不到回应的爱。
用户023655174,3月5日 08:05,那就不要辜负她
给我来瓶养乐多,3月5日 08:00,一定是她吴玉立
伤感网络_886-_w,3月5日 07:53,我见众生皆无意 唯有见你动了情。
妳的淇_,3月5日 06:38,幸福去吧 灾我来挡
时间差我的爱,3月5日 04:51,我们还没有好好道别
卢姆教授,3月5日 04:19,天黑了别忘记回家@悦叔超级污
卢姆教授,3月5日 04:18,可以的
浪废1997,3月5日 04:17,不会， 没感觉的时候关于你都烦。 舔2年亲身经历
浪废1997,3月5日 04:14,我已经放弃了， 没有女孩子喜欢我
零肆梦雨,3月5日 03:21,恭喜，祝白头偕老
快递大鱼,3月5日 02:10,我能娶到我我喜欢的人吗？
A刘悦悦,3月5日 02:06,希望你幸福 是双数了不给你点赞了
A刘悦悦,3月5日 02:04,希望你可以娶到自己喜欢的女孩
章鱼哥62,3月5日 01:21,好的呢
boopye,3月5日 00:20,所以我为了遇见他每天去机房打卡啊
工藤新_______,3月4日 23:44,希望我们能越来越好祝你平安快乐 我爱你 你要记得我
常去你夢哩的女人_,3月4日 23:31,天黑了别忘记回家
菲律宾的夜yw,3月4日 23:28,可我也曾经想把你娶回家
07的鳯y,3月4日 23:21,为你暖一杯茶.
宁愿你是只蝴蝶,3月4日 23:19,8总歌单的歌哟
爱的回归线__Xk9k,3月4日 22:58,爱
是姑娘你太难忘,3月4日 22:55,@风与路人_7 @小李小李不讲道理789
小張i你_,3月4日 22:54,被爱的前提永远不是漂亮
小張i你_,3月4日 22:53,娶不到看不起你
缓缓没到来,3月4日 22:44,9219
青之芸兮,3月4日 22:41,会，但也会克制
会愧疚吗z,3月4日 22:17,问心无愧自然是对的起萍水相逢
i-蟹老板,3月4日 22:05,你起不来的凌晨5点有人能起 你熬不住的有人能熬 小小年纪你就忧愁万分以后的路还怎么走
晚奈小橘子,3月4日 21:49,就这样静静地陪着他长大，不管以后会怎样啦
吃一口星星星_,3月4日 21:35,如果在几年后 我嫁给了一个叫李为杰的男孩 看到这条文案评论的各位都有喜糖。
蠢羊a,3月4日 21:25,我知道你我之间蓬山千里重 我知道这份心意如飞鸿踏雪泥不值得改变彼此人生
你先别说话_,3月4日 21:24,恭喜🎉
飞翔的企鹅1052,3月4日 21:09,恭喜 愿你们白头偕老
GTIAN_T,3月4日 20:28,从一个意外的相识让我们走到一起，中间有很多次分分合合，其实我真挺舍不得他的，一次比一次爱的深伤的也狠，你确实挺绝的，想分就分想和就和，我只不过就是你手中的你枚棋子，就这样吧，537结束了陌生人.
Geej_qS4G,3月4日 19:57,好喜欢她呀呀呀呀呀呀呀
小朋友wu,3月4日 19:54,17年与你相遇，那时你我相爱着，却无缘在一起。如今你和女友一起四五年了吧。看着你们的婚纱照替你开心，自己却流下了眼泪
是姑娘你太难忘,3月4日 19:46,@辛吧啦
叶宵行,3月4日 19:12,双数了
梁小白cc,3月4日 19:09,科目一不是不用去驾校吗
听之感官,3月4日 17:30,不会，相信自己
Beverly不吃芝士,3月4日 17:17,恭喜！！
慢慢即漫漫vv,3月4日 17:14,我已经做好了万全的准备来迎接你回家！
桥言i1,3月4日 16:59,黑化吧，不是小事
追光YSJ,3月4日 15:27,恭喜恭喜，祝白头偕老，早生贵子
追光YSJ,3月4日 15:26,恭喜恭喜，祝永结同心，百年好合
lemon_0119,3月4日 15:04,那个女孩该多幸福啊
glw温柔予我,3月4日 14:56,恭喜
倾笑众生,3月4日 14:52,听哭了
-你猜我是谁__,3月4日 14:37,祝福
大霧漫了愛意04,3月4日 13:28,加油呀
杜啪啪-,3月4日 13:06,恭喜
说着风凉话,3月4日 12:26,不是
偷偷的想你一次Nm,3月4日 11:59,爱瑶
鱼鱼与渔渔鱼,3月4日 11:46,是候鸟与海豚
瓜皮炖老鼠,3月4日 11:44,恭喜恭喜吖
独孤171204,3月4日 11:44,忘不了的人才是真爱
今天也要去跑步z,3月4日 09:57,成功之后会发现其实没那么难的！！加油啊！
鄢陵最帅的男人,3月4日 08:52,鄢陵第一深情[多多难过]
爱听八卦的郑小姐_,3月4日 08:50,你要好好的
殊途同归05,3月4日 08:20,是有钱
____该用户不存在____,3月4日 08:16,唉，打卡第三天，好不容易打到星耀一，快上王者了，说我的段位比她高了，跟我闹脾气，有点不知所措，自己嘴笨不会哄她呀
青菜蔬菜wo最菜-,3月4日 07:39,666
921路口等俊i,3月4日 05:47,今天 我和她三个月了 希望我们可以一直好好的在一起
王金砖_w,3月4日 05:33,恭喜
三元呀,3月4日 05:15,来自四川 祝周海波生日快乐
三元呀,3月4日 05:12,恭喜恭喜呀
曾家豪zjh,3月4日 04:22,我爱她可是我总是孩子气 她离开了我
-白將軍,3月4日 02:41,喜欢一辈子 一路走来也经历的一些事 庆幸的我们都没松手 以后山高路远 不知道未来可不可以和他有个家 能不能有个好的未来 如果可以的话 我更希望我陪她走到白头 如果不能那我就祝她幸福 祝她岁岁平安 祝她腰缠万贯 如果走不到最后可能就真是我没有这个命数 我认 但是真什么都不图 只想和她有以后
-白將軍,3月4日 02:37,有个女孩 在我经历了无数次坎坷之后闯入了我的生活 从一出现就在我眼里胜过了一些为我付出了很多的人 不知道是正缘还是孽缘 我只知道有她在我真的好开心 但是总有一些事不顺心 有时候会羡慕别人无爱一身自由 但更多的是我在他心里的踏实感 不高的个子 一点就着的脾气 时好时坏的小性子足已让我
酒颂313,3月4日 02:23,刚出来的时候才认识她，到现在都已经过去三年了。我们也已经分开两年了！
十二点退房,3月4日 02:10,半夜酒醒我可以给你煮粥喝，但是第二天我不会给你做早餐，我要回家。
十二点退房,3月4日 01:53,加油
陈小姐啊_,3月4日 01:40,被爱的人应该不用很漂亮，也不用很懂事吧。
丨酸柚子丨,3月4日 01:25,恭喜恭喜
-陪我淋场雨-,3月4日 01:24,记得娶我-殷博
icy-_77,3月4日 01:24,他食言啦。
一只小小段oY,3月4日 01:23,我没有不喜欢你，但还是向你提出了分手，并且最后你也走了
将军饮酒赋诗,3月4日 00:49,加油啊！
小瑶不爱听歌呀,3月4日 00:16,第一次遇见他，那种心动的感觉就来了，半夜打寒战发高烧的我被他的哭声吵醒了，他哭着说他很心疼我，他不知道怎么办，才能让我舒服一点，去医院，检查缴费抽血CT找病房，旁晚到第二天中午，他没睡。他说我是他的小朋友，一定要健健康康，不管花多少钱。可是他手里，此时只有自己的生活费和学费了……
有梦想的狐狸_,3月3日 23:58,恭喜
申福姗,3月3日 23:31,恭喜你呀
娜娜吃不饱-_,3月3日 23:28,晚安宁鑫浩
因你而起1,3月3日 23:23,希望宋俊仪永远遇到真诚又勇敢的人 平安顺遂✌
每一份相遇都来之不易,3月3日 23:20,一起淋过雪 也算共了白头吧
忄_台_,3月3日 22:54,想把他最喜欢的情话弹给他
Tongyb1021,3月3日 22:51,不是
溯0511,3月3日 22:49,人生如茶，岁月如歌。一杯清茶品日月，半壶老酒醉人生
会来身边,3月3日 22:20,听我唱这首歌的人离开我了，真好
是你的小萌-,3月3日 22:15,他会娶你吗
Oxygen_1013,3月3日 22:03,@Anoxia_0829
blacue,3月3日 21:40,2022.3.3反复确认过了 原来是谁都可以
-杨舒晴,3月3日 21:11,爱与不爱都有尽头
长g呀,3月3日 21:10,你这就离了个大谱了。
____该用户不存在____,3月3日 21:04,打卡第三天
等字很浪漫_j,3月3日 20:58,我想嫁给张世杰
多愁现感,3月3日 20:33,我喜欢你，但是理智告诉我到此为止，不想做舔狗
ioumanman,3月3日 20:27,真爱之路 从不平坦 爱赢万难 爱也迎万难
宁苏御,3月3日 20:25,女孩子偶尔也会无理取闹，男孩子有时也会因为生活的种种不易心烦意乱，当两者相遇时，看到漂亮的脸蛋，气真的会消一半，反之，会更气更气！！
枯叶蝶181122,3月3日 20:22,那个你口中的张文静会是我吗？
听故事好吗,3月3日 20:19,学会早睡早起，学会投资自己，对人礼貌懂事，把圈子变干净，努力做一个温柔且有力量的人，要好好爱自己呀
-娶你啊,3月3日 20:08,来自山东 祝周海波生日快乐
安辞溪_,3月3日 19:10,可能是我太主动了 让你觉得我的爱很廉价 可我不是对谁都这样 倘若我释怀了 这份爱也结束了.
安辞溪_,3月3日 19:09,"''据说，即使一个人演技再好, 也会身不由己的笑场, 那是蓦然念起心上人的一瞬间.''"
lxxm99,3月3日 19:02,人永远都喜欢被偏爱吧
小蜜橘1706,3月3日 18:57,被爱的结果会是漂亮
ch3ck-,3月3日 18:57,时间是良药
暖1杯茶-,3月3日 18:39,好
单脚走着钢索,3月3日 18:08,有一种关系，停止主动，它就结束了。
绝恋心海,3月3日 17:56,时间会验证我多爱你呀
一杯清酒一世炎凉,3月3日 17:13,臭宝
卿卿是一条虫子,3月3日 16:32,今年是我们的第三年，我们真的经历了很多，但我们都没有放弃过，相信我们会越来越好
4_Uui,3月3日 16:17,以后别人提到我名字的时候你觉得熟悉就好.
4_Uui,3月3日 16:16,只求你不要忘记我陪你走过的路
4_Uui,3月3日 16:16,你幸福了我会不开心的
4_Uui,3月3日 16:16,看起来比我温柔比我好看
4_Uui,3月3日 16:13,那个女孩好漂亮
4_Uui,3月3日 16:12,我希望有一天你喝的醉醺醺的给我打电话，然后告诉我说，分开这么久了，你好想我。
酷炸的甜,3月3日 16:09,你删的掉我的微信，删的掉照片，短信，但是你删得掉我的脸，我的声音，我们的回忆，我们一起走过的经历吗
没有鲨鱼_Z35m,3月3日 16:03,只要没有遗憾 不要辜负别人就好
不是女明星9,3月3日 15:55,我不怪你
不是女明星9,3月3日 15:54,恭喜
Blame易,3月3日 15:44,如果我们换个时间认识，或许会很合适呢？对吗
Heydou_BB,3月3日 12:59,只要你知道珍惜，你会慢慢爱上她
友情出演你的故事里,3月3日 12:34,到了结婚的年纪，不要为了结婚而结婚，没有合适的宁可单着，
小鬼不要香菜-z,3月3日 11:43,习惯淋雨就真的不需要伞了
爱祁凡,3月3日 11:03,他喜欢，所以我喜欢
草莓熊210519,3月3日 08:08,爱你（ybr）
还会再相遇ma,3月3日 06:32,这是你最喜欢的一首歌 分手的第78天 我又失眠了 你现在过的还好吗 我想你了
巫婆c,3月3日 04:05,放下的感觉太好了
